DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_mlp_Z2
14,72,14,0.5956
14,74,12,0.6022
14,76,10,0.6187
14,78,8,0.6468
14,80,6,0.6865
14,82,4,0.7347
14,84,2,0.7846
14,86,0,0.8269
16,0,84,0.8076
16,2,82,0.7916
16,4,80,0.7692
16,6,78,0.7432
16,8,76,0.7145
16,10,74,0.6844
16,12,72,0.6538
16,14,70,0.6238
16,16,68,0.5957
16,18,66,0.5702
16,20,64,0.5481
16,22,62,0.5298
16,24,60,0.5153
16,26,58,0.5044
16,28,56,0.4968
16,30,54,0.4923
16,32,52,0.4904
16,34,50,0.4908
16,36,48,0.4934
16,38,46,0.4981
16,40,44,0.5048
16,42,42,0.5137
16,44,40,0.5245
16,46,38,0.5366
16,48,36,0.5491
16,50,34,0.5613
16,52,32,0.5723
16,54,30,0.5817
16,56,28,0.5888
16,58,26,0.5935
16,60,24,0.5955
16,62,22,0.595
16,64,20,0.5925
16,66,18,0.5889
16,68,16,0.5857
16,70,14,0.585
16,72,12,0.5896
16,74,10,0.6021
16,76,8,0.625
16,78,6,0.6596
16,80,4,0.7052
16,82,2,0.7579
16,84,0,0.807
18,0,82,0.812
18,2,80,0.7913
18,4,78,0.7656
18,6,76,0.7369
18,8,74,0.7063
18,10,72,0.6749
18,12,70,0.6438
18,14,68,0.6142
18,16,66,0.5867
18,18,64,0.5623
18,20,62,0.5413
18,22,60,0.524
18,24,58,0.5104
18,26,56,0.5003
18,28,54,0.4934
18,30,52,0.4895
18,32,50,0.4883
18,34,48,0.4894
18,36,46,0.4928
18,38,44,0.4982
18,40,42,0.5056
18,42,40,0.5147
18,44,38,0.525
18,46,36,0.5361
18,48,34,0.5472
18,50,32,0.5575
18,52,30,0.5666
18,54,28,0.5738
18,56,26,0.5789
18,58,24,0.5816
18,60,22,0.5821
18,62,20,0.5806
18,64,18,0.5778
18,66,16,0.5748
18,68,14,0.5733
18,70,12,0.5753
18,72,10,0.5832
18,74,8,0.5995
18,76,6,0.6265
18,78,4,0.6652
18,80,2,0.7141
18,82,0,0.7665
20,0,80,0.8077
20,2,78,0.7842
20,4,76,0.7565
20,6,74,0.7261
20,8,72,0.6944
20,10,70,0.6625
20,12,68,0.6317
20,14,66,0.6027
20,16,64,0.5763
20,18,62,0.5531
20,20,60,0.5334
