DQ_pct_X,TBZ_pct_Y,THI_pct_Z,correct_fraction_nnls_Z2,data_density_alpha
1,0,99,0.6191,0.0649
1,1,98,0.6259,0.0720
1,2,97,0.6324,0.0796
1,3,96,0.6388,0.0876
1,4,95,0.6451,0.0961
1,5,94,0.6511,0.1050
1,6,93,0.6569,0.1144
1,7,92,0.6625,0.1241
1,8,91,0.6679,0.1342
1,9,90,0.6730,0.1446
1,10,89,0.6780,0.1553
1,11,88,0.6827,0.1662
1,12,87,0.6872,0.1773
1,13,86,0.6915,0.1886
1,14,85,0.6955,0.2000
1,15,84,0.6994,0.2114
1,16,83,0.7030,0.2228
1,17,82,0.7065,0.2342
1,18,81,0.7099,0.2455
1,19,80,0.7130,0.2566
1,20,79,0.7161,0.2675
1,21,78,0.7190,0.2783
1,22,77,0.7219,0.2887
1,23,76,0.7247,0.2989
1,24,75,0.7274,0.3087
1,25,74,0.7302,0.3182
1,26,73,0.7329,0.3273
1,27,72,0.7357,0.3360
1,28,71,0.7386,0.3444
1,29,70,0.7415,0.3523
1,30,69,0.7445,0.3598
1,31,68,0.7476,0.3669
1,32,67,0.7508,0.3736
1,33,66,0.7542,0.3798
1,34,65,0.7576,0.3857
1,35,64,0.7611,0.3912
1,36,63,0.7647,0.3962
1,37,62,0.7684,0.4009
1,38,61,0.7722,0.4052
1,39,60,0.7759,0.4091
1,40,59,0.7797,0.4126
1,41,58,0.7834,0.4157
1,42,57,0.7870,0.4185
1,43,56,0.7906,0.4210
1,44,55,0.7939,0.4231
1,45,54,0.7971,0.4248
1,46,53,0.8000,0.4262
1,47,52,0.8027,0.4272
1,48,51,0.8051,0.4279
1,49,50,0.8072,0.4283
1,50,49,0.8090,0.4283
1,51,48,0.8104,0.4279
1,52,47,0.8115,0.4272
1,53,46,0.8122,0.4262
1,54,45,0.8125,0.4248
1,55,44,0.8125,0.4231
1,56,43,0.8122,0.4210
1,57,42,0.8115,0.4185
1,58,41,0.8106,0.4157
1,59,40,0.8094,0.4126
1,60,39,0.8080,0.4091
1,61,38,0.8064,0.4052
1,62,37,0.8046,0.4009
1,63,36,0.8028,0.3962
1,64,35,0.8009,0.3912
1,65,34,0.7989,0.3857
1,66,33,0.7970,0.3798
1,67,32,0.7952,0.3736
1,68,31,0.7934,0.3669
1,69,30,0.7918,0.3598
1,70,29,0.7903,0.3523
1,71,28,0.7890,0.3444
1,72,27,0.7879,0.3360
1,73,26,0.7870,0.3273
1,74,25,0.7863,0.3182
1,75,24,0.7859,0.3087
1,76,23,0.7858,0.2989
1,77,22,0.7859,0.2887
1,78,21,0.7863,0.2783
1,79,20,0.7870,0.2675
1,80,19,0.7879,0.2566
1,81,18,0.7891,0.2455
1,82,17,0.7905,0.2342
1,83,16,0.7922,0.2228
1,84,15,0.7940,0.2114
1,85,14,0.7961,0.2000
1,86,13,0.7985,0.1886
1,87,12,0.8010,0.1773
1,88,11,0.8036,0.1662
1,89,10,0.8065,0.1553
1,90,9,0.8094,0.1446
1,91,8,0.8126,0.1342
1,92,7,0.8158,0.1241
1,93,6,0.8191,0.1144
1,94,5,0.8226,0.1050
1,95,4,0.8261,0.0961
1,96,3,0.8297,0.0876
1,97,2,0.8333,0.0796
1,98,1,0.8370,0.0720
1,99,0,0.8407,0.0649
2,0,98,0.6266,0.0719
2,1,97,0.6331,0.0796
2,2,96,0.6395,0.0878
2,3,95,0.6457,0.0965
2,4,94,0.6517,0.1057
2,5,93,0.6575,0.1154
2,6,92,0.6630,0.1254
2,7,91,0.6684,0.1359
2,8,90,0.6735,0.1467
2,9,89,0.6784,0.1579
2,10,88,0.6831,0.1694
2,11,87,0.6876,0.1810
2,12,86,0.6918,0.1929
2,13,85,0.6959,0.2049
2,14,84,0.6997,0.2170
2,15,83,0.7033,0.2291
