raman_shift_cm-1,compound,normalized_abs_IG,within_10cm-1_of_VIP
1132.3,DQ,0.16128656,0
1133.85,DQ,0.29627693,0
1135.4,DQ,0.035153765,0
1136.95,DQ,0.33496851,0
1138.5,DQ,0.019720018,0
1140.05,DQ,0.024415495,0
1141.6,DQ,0.0043119509,0
1143.15,DQ,0.021316713,0
1144.7,DQ,0.18870036,0
1146.25,DQ,0.090302527,0
1147.8,DQ,0.047661066,0
1149.35,DQ,0.11519633,0
1150.9,DQ,0.021396004,0
1152.45,DQ,0.21596096,0
1154,DQ,0.23452601,0
1155.55,DQ,0.004781201,0
1157.1,DQ,0.044992585,0
1158.65,DQ,0.032704845,0
1160.2,DQ,0.10217738,0
1161.75,DQ,0.09450537,0
1163.3,DQ,0.18228339,0
1164.85,DQ,0.1340147,0
1166.4,DQ,0.17739575,1
1167.95,DQ,0.050864063,1
1169.5,DQ,0.10152754,1
1171.05,DQ,0.12847902,1
1172.6,DQ,0.39053723,1
1174.15,DQ,0.60294974,1
1175.7,DQ,0.40657464,1
1177.25,DQ,0.2201061,1
1178.8,DQ,0.28589606,1
1180.35,DQ,0.39859104,1
1181.9,DQ,0.2973932,1
1183.45,DQ,0.082462482,1
1185,DQ,0.029644441,1
1186.55,DQ,0.14062048,0
1188.1,DQ,0.032168601,0
1189.65,DQ,0.013027138,0
1191.2,DQ,0.0084868791,0
1192.75,DQ,0.026285265,0
1194.3,DQ,0.0054419474,0
1195.85,DQ,0.00071688637,0
1197.4,DQ,0.019279888,0
1198.95,DQ,0.022046167,0
1200.5,DQ,0.0032161532,0
1202.05,DQ,0.0081476523,0
1203.6,DQ,0.010861264,0
1205.15,DQ,0.014970642,0
1206.7,DQ,0.010294981,0
1208.25,DQ,0.0054952903,0
1209.8,DQ,0.0068786275,0
1211.35,DQ,0.019168075,0
1212.9,DQ,0.020495521,0
1214.45,DQ,0.037912708,0
1216,DQ,0.0082298415,0
1217.55,DQ,0.10954072,0
1219.1,DQ,0.24258147,0
1220.65,DQ,0.31622985,0
1222.2,DQ,0.20257325,0
1223.75,DQ,0.15572853,0
1225.3,DQ,0.41261142,0
1226.85,DQ,0.23902276,0
1228.4,DQ,0.37132922,0
1229.95,DQ,0.1392311,0
1231.5,DQ,0.17384112,0
1233.05,DQ,0.15314354,0
1234.6,DQ,0.085030608,0
1236.15,DQ,0.18304028,0
1237.7,DQ,0.19760393,0
1239.25,DQ,0.066039041,0
1240.8,DQ,0.069724314,0
1242.35,DQ,0.22088468,0
1243.9,DQ,0.16981381,0
1245.45,DQ,0.016885411,0
1247,DQ,0.064361617,0
1248.55,DQ,0.11927944,0
1250.1,DQ,0.011947406,0
1251.65,DQ,0.11473928,0
1253.2,DQ,0.23490804,0
1254.75,DQ,0.045771305,0
1256.3,DQ,0.2072795,0
1257.85,DQ,0.028431434,0
1259.4,DQ,0.047584683,0
1260.95,DQ,0.060178552,0
1262.5,DQ,0.20189112,0
1264.05,DQ,0.12658732,0
1265.6,DQ,0.088270977,0
1267.15,DQ,0.038585395,0
1268.7,DQ,0.095153287,0
1270.25,DQ,0.10930473,0
1271.8,DQ,0.13952456,0
1273.35,DQ,0.0997779,0
1274.9,DQ,0.050942112,0
1276.45,DQ,0.014119353,0
1278,DQ,0.020799959,0
1279.55,DQ,0.029267322,0
1281.1,DQ,0.019130023,0
1282.65,DQ,0.070550717,0
1284.2,DQ,0.12911561,0
1285.75,DQ,0.0061787339,0
1287.3,DQ,0.0017454338,0
1288.85,DQ,0.042218708,0
1290.4,DQ,0.026013911,0
1291.95,DQ,0.00134899,0
1293.5,DQ,0.01780368,0
1295.05,DQ,0.029916046,0
1296.6,DQ,0.051148683,0
1298.15,DQ,0.056983579,0
1299.7,DQ,0.02514234,0
1301.25,DQ,0.026918707,0
1302.8,DQ,0.027322868,0
